author,title,name_of_publication,date
"Sumit Basu, Chuck Jacobs, Lucy Vanderwende","Powergrading: a Clustering Approach to Amplify Human Effort for Short Answer Grading","TACL","2013"
"S. Burrows, I. Gurevych, B. Stein","The Eras and Trends of Automatic Short Answer Grading","Int J Artif Intell Educ","2015"
"G. M. Bull","An Examination of the Final Examination in Medicine","The Lancet","1956"
"J. Cohen","Statistical power analysis for the behavioral sciences","Routledge","1988"
"Jared M. Diamond","Guns, germs, and steel : the fates of human societies","Norton","2005"
"M. R. Gugiu, P. C. Gugiu, R. Baldus","Utilizing Generalizability Theory to Investigate the Reliability of Grades Assigned to Undergraduate Research Papers","Journal of MultiDisciplinary Evaluation","2012"
"Shivam Gupta","Number of swaps to sort when only adjacent swapping allowed","GeeksforGeeks","2016"
"C. R. Harris, K. J. Millman, S. J. van der Walt, R. Gommers, P. Virtanen, D. Cournapeau, E. Wieser, J. Taylor, S. Berg, N. Smith, R. Kern, M. Picus, S. Hoyer, M. van Kerkwijk, M. Brett, A. Haldane, J. Fernández del Río, M. Wiebe, P. Peterson, P. Gérard-Marchant, K. Sheppard, T. Reddy, W. Weckesser, H. Abbasi, C. Gohlke, T. Oliphant","Array programming with NumPy","Nature","2020"
"Matthew Honnibal, Ines Montani","spacy 2: Natural language understanding with bloom embeddings, convolutional neural networks and incremental parsing","unknown","2017"
"T. Kluyver, B. Ragan-Kelley, F. Pérez, B. Granger, M. Bussonnier, J. Frederic, K. Kelley, J. Hamrick, J. Grout, S. Corlay, P. Ivanov, D. Avila, S. Abdalla, C. Willing, Jupyter development team","Jupyter Notebooks – a publishing format for reproducible computational workflows","IOS Press","2016"
"J. R. Landis, G. G. Koch","The Measurement of Observer Agreement for Categorical Data","Biometrics","1977"
"W. McKinney","Data Structures for Statistical Computing in Python","Proceedings of the 9th Python in Science Conference","2010"
"T. Mikolov, I. Sutskever, K. Chen, G. S. Corrado, J. Dean","Distributed Representations of Words and Phrases and their Compositionality","Advances in Neural Information Processing Systems","2013"
"F. Pedregosa, G. Varoquaux, A. Gramfort, V. Michel, B. Thirion, O. Grisel, M. Blondel, P. Prettenhofer, R. Weiss, V. Dubourg, J. Vanderplas, A. Passos, D. Cournapeau, M. Brucher, M. Perrot, E. Duchesna","Scikit-learn: Machine learning in Python","Journal of Machine Learning Research","2011"
"R. Vallat","Pingouin: Statistics in Python","Journal of Open Source Software","2018"
"G. Van Rossum, F. L. Drake Jr","Python reference manual","Centrum voor Wiskunde en Informatica Amsterdam","1995"
"P. Virtanen, R. Gommers, T. Oliphant, M. Haberland, T. Reddy, D. Cournapeau, E. Burovski, P. Peterson, W. Weckesser, J. Bright, S. van der Walt, M. Brett, J. Wilson, K. Millman, N. Mayorov, A. Nelson, E. Jones, R. Kern, E. Larson, CJ Carey, I. Polat, Y. Feng, E. Moore, J. VanderPlas, D. Laxalde, J. Perktold, R. Cimrman, I. Henriksen, E. A. Quintero, C. Harris, A. Archibald, A. Ribeiro, F. Pedregosa, P. van Mulbregt, SciPy 1.0 Contributors","SciPy 1.0: Fundamental Algorithms for Scientific Computing in Python","Nature Methods","2020"